Card_Number,Card_Family,Cust_ID,Account Status,Reason_Code,Reason 
8638-5407-3631-8196,Platinum,CC67088,A,G,Good
7106-4239-7093-1515,Gold,CC12076,A,G,Good
6492-5655-8241-3530,Premium,CC97173,A,G,Good
2868-5606-5152-5706,Gold,CC55858,A,G,Good
1438-6906-2509-8219,Platinum,CC90518,A,G,Good
2764-7023-8396-5255,Gold,CC49168,A,G,Good
4864-7119-5608-7611,Premium,CC66746,A,G,Good
5160-8427-6529-3274,Premium,CC28930,A,G,Good
6691-5105-1556-4131,Premium,CC76766,A,G,Good
1481-2536-2178-7547,Premium,CC18007,A,G,Good
1355-1728-8274-9593,Premium,CC23267,A,G,Good
9621-6787-7890-7470,Platinum,CC52613,A,G,Good
6385-4594-8055-9081,Premium,CC96267,A,G,Good
2595-8621-2855-9119,Premium,CC22050,A,G,Good
7214-4915-6387-5429,Platinum,CC72302,A,G,Good
7908-3850-6633-2606,Gold,CC71044,A,G,Good
6574-5513-6101-1905,Gold,CC95639,A,G,Good
4203-2936-4855-8802,Gold,CC19302,A,G,Good
6239-8641-8524-9441,Gold,CC18438,A,G,Good
1259-5241-3561-1773,Gold,CC96267,A,G,Good
1113-9175-3253-8426,Gold,CC51598,A,G,Good
6244-6800-1680-7174,Premium,CC43306,A,G,Good
6228-9033-3508-8121,Gold,CC36771,A,G,Good
1466-1600-9312-7604,Premium,CC60926,A,G,Good
6557-2662-6932-6028,Platinum,CC21717,A,G,Good
9310-6095-5617-9905,Gold,CC31781,A,G,Good
7586-6475-9618-3909,Gold,CC51908,A,G,Good
1410-9622-6092-3445,Premium,CC30635,A,G,Good
5088-4839-2639-6414,Premium,CC72942,A,G,Good
9074-3311-4009-9836,Gold,CC27334,A,G,Good
7179-9253-8424-9313,Premium,CC32209,A,G,Good
1846-7945-5251-4091,Premium,CC99214,A,G,Good
6722-7299-6082-7974,Gold,CC87034,A,G,Good
1235-8656-9164-2644,Premium,CC16796,A,G,Good
8794-7936-2566-9238,Gold,CC36590,A,G,Good
2640-5294-8252-8817,Platinum,CC70762,A,G,Good
1652-7516-1273-1992,Platinum,CC62994,A,G,Good
4803-9564-9708-3189,Platinum,CC73157,A,G,Good
3513-5475-4629-7570,Gold,CC20216,A,G,Good
7843-4724-2851-6218,Gold,CC11887,A,G,Good
2570-5181-2062-7588,Platinum,CC45544,A,G,Good
1749-4777-2532-7766,Platinum,CC64380,A,G,Good
3544-7836-9589-7635,Premium,CC97882,A,G,Good
8272-7202-4112-6502,Premium,CC77470,A,G,Good
5618-9718-9367-2102,Gold,CC59340,A,G,Good
8725-3610-8060-2617,Premium,CC34943,A,G,Good
9446-5484-2517-1811,Gold,CC53465,A,G,Good
7908-2695-7391-7499,Gold,CC53797,A,G,Good
1782-5331-5899-1813,Premium,CC48867,A,G,Good
8138-6235-7062-6142,Premium,CC25727,A,G,Good
3991-7326-9292-2844,Premium,CC58936,A,G,Good
4375-1627-3683-5900,Gold,CC70438,A,G,Good
4314-6417-5269-5130,Platinum,CC59570,A,G,Good
5814-6146-3149-1775,Gold,CC53348,A,G,Good
8757-6814-8721-3839,Gold,CC51953,A,G,Good
2535-9251-5633-3656,Premium,CC46148,A,G,Good
5296-2987-4365-6870,Gold,CC63178,A,G,Good
8509-8871-7296-2015,Gold,CC17004,A,G,Good
1750-2387-4085-7042,Gold,CC73804,A,G,Good
6547-1222-2350-2503,Gold,CC57048,A,G,Good
5564-7149-9280-5472,Platinum,CC19496,A,G,Good
7199-4140-9327-8875,Platinum,CC35304,A,G,Good
9933-8699-5268-4345,Premium,CC70398,A,G,Good
6075-5795-3555-1281,Premium,CC70548,A,G,Good
5092-6820-3830-6560,Premium,CC33848,A,G,Good
3594-2190-6052-1265,Platinum,CC81396,A,G,Good
7815-7711-6866-1320,Premium,CC25731,A,G,Good
1464-1118-5953-6424,Premium,CC14152,A,G,Good
9991-4727-7710-2269,Premium,CC97660,A,G,Good
9356-9491-6534-8313,Premium,CC14701,A,G,Good
7900-3001-7632-4005,Gold,CC94038,A,G,Good
4663-3168-7059-6778,Premium,CC44646,A,G,Good
5984-2442-3351-3695,Gold,CC69750,A,G,Good
7665-2468-6158-3511,Premium,CC81252,A,G,Good
3001-2844-6540-3608,Gold,CC95631,A,G,Good
5094-8484-5014-6152,Premium,CC66803,A,G,Good
6697-9358-9213-4896,Gold,CC89895,A,G,Good
5005-7427-6443-4284,Platinum,CC64111,A,G,Good
5747-7372-2770-2325,Premium,CC38028,A,G,Good
5978-8449-1139-4565,Gold,CC93137,A,G,Good
9030-1667-6058-6173,Premium,CC61186,A,G,Good
9961-2869-2603-3317,Platinum,CC43568,A,G,Good
4265-2692-1676-5635,Premium,CC14547,A,G,Good
9627-1907-4419-6606,Platinum,CC16925,A,G,Good
3380-5311-6073-9478,Platinum,CC71781,A,G,Good
1175-3754-1370-5515,Gold,CC95072,A,G,Good
4784-5120-3581-6184,Gold,CC27225,A,G,Good
3414-4178-9784-9954,Premium,CC23320,A,G,Good
6399-9536-6027-1857,Premium,CC88518,A,G,Good
4040-7464-4000-3447,Gold,CC22650,A,G,Good
8950-6403-2080-8100,Gold,CC46165,A,G,Good
9027-9319-4091-7718,Gold,CC21935,A,G,Good
5619-4425-5473-6565,Premium,CC23352,A,G,Good
4563-2673-5152-4847,Gold,CC32126,A,G,Good
1559-8764-1659-4317,Gold,CC95241,A,G,Good
3168-6552-9936-1500,Gold,CC23267,A,G,Good
4012-7774-6690-7055,Platinum,CC29686,A,G,Good
7677-5937-2671-3687,Gold,CC55171,A,G,Good
9458-1130-5333-6475,Platinum,CC57989,A,G,Good
5583-9751-6086-5673,Premium,CC66044,A,G,Good
4046-1968-8375-3680,Platinum,CC24888,A,G,Good
5734-5619-8469-4044,Gold,CC87306,A,G,Good
1693-2036-4352-9386,Premium,CC26324,A,G,Good
8287-3054-9804-9342,Gold,CC96154,A,G,Good
8797-7761-7623-1806,Gold,CC55201,A,G,Good
5447-4124-3337-6163,Platinum,CC91817,A,G,Good
5957-5032-1448-8189,Premium,CC46521,A,G,Good
7164-1323-2737-4112,Gold,CC13757,A,G,Good
4310-3710-6743-6385,Gold,CC61838,A,G,Good
5689-2440-9593-1931,Premium,CC96697,A,G,Good
2271-9253-1553-2843,Premium,CC76150,A,G,Good
3226-1711-7076-2949,Platinum,CC17722,A,G,Good
8691-3939-1859-5937,Premium,CC33574,A,G,Good
5750-8229-8026-8893,Gold,CC36555,A,G,Good
5993-5660-3442-6277,Gold,CC74753,A,G,Good
6994-7925-9044-3458,Premium,CC47609,A,G,Good
6514-4444-5642-2615,Premium,CC60423,A,G,Good
2088-6665-3327-6898,Gold,CC36641,A,G,Good
7908-8365-2086-2481,Gold,CC35750,A,G,Good
8477-4051-5606-6540,Gold,CC33589,A,G,Good
4783-2852-8264-4966,Platinum,CC52481,A,G,Good
8590-6850-6104-5846,Gold,CC34574,A,G,Good
6575-1457-7757-9141,Gold,CC16994,A,G,Good
7017-9570-4103-5076,Gold,CC41412,A,G,Good
8783-7271-8493-7931,Premium,CC39128,A,G,Good
6015-9255-9994-6771,Premium,CC64725,A,G,Good
2388-1652-4326-6035,Premium,CC69012,A,G,Good
8069-5321-4131-7493,Platinum,CC65981,A,G,Good
2347-2804-9899-1830,Gold,CC62204,A,G,Good
8376-2481-1705-6329,Gold,CC44192,A,G,Good
5129-6974-6371-2964,Gold,CC62968,A,G,Good
4341-6411-1439-6094,Gold,CC30988,A,G,Good
5591-5619-8809-5454,Platinum,CC79161,A,G,Good
3458-8126-3660-8686,Gold,CC15883,A,G,Good
7583-5046-7750-5578,Premium,CC30342,A,G,Good
2568-8047-9427-1704,Gold,CC50301,A,G,Good
7168-9862-2659-8550,Platinum,CC13238,A,G,Good
1893-8853-9900-8478,Premium,CC11165,A,G,Good
2517-1247-3682-9050,Platinum,CC65030,A,G,Good
8361-7488-5303-1801,Gold,CC75139,A,G,Good
4139-7870-9436-2923,Gold,CC51400,A,G,Good
9138-8487-6675-4521,Platinum,CC40226,A,G,Good
8408-7680-2338-9105,Platinum,CC63145,A,G,Good
1123-9777-7335-9167,Premium,CC43524,A,G,Good
5695-2379-4433-2485,Platinum,CC36120,A,G,Good
4819-6940-5506-8061,Platinum,CC90127,A,G,Good
2944-6929-3608-9991,Premium,CC37044,A,G,Good
8883-9569-6241-3952,Gold,CC31583,A,G,Good
6315-7338-3105-9947,Premium,CC38543,A,G,Good
9161-8723-1217-5269,Premium,CC89243,A,G,Good
3810-4783-2207-7703,Gold,CC75362,A,G,Good
5786-9833-8038-2159,Premium,CC65775,A,G,Good
5894-8042-7318-9450,Premium,CC38368,A,G,Good
7377-5503-9688-7953,Platinum,CC19835,A,G,Good
5731-9804-7859-1641,Gold,CC82924,A,G,Good
8217-2336-2393-6960,Platinum,CC23156,A,G,Good
2447-6299-5016-4953,Premium,CC25881,A,G,Good
4525-4818-6014-8945,Premium,CC41775,A,G,Good
9083-6711-4313-1181,Platinum,CC23204,A,G,Good
7199-6959-4688-2302,Gold,CC68010,A,G,Good
4027-9234-2261-8201,Platinum,CC63227,A,G,Good
8066-8437-2479-2481,Platinum,CC97360,A,G,Good
8904-2491-3727-6958,Gold,CC38471,A,G,Good
7362-1637-8977-1963,Premium,CC72351,A,G,Good
9157-2802-8374-1145,Premium,CC59562,A,G,Good
1350-6303-6190-5958,Premium,CC85396,A,G,Good
7224-9964-4793-3939,Premium,CC22992,A,G,Good
6071-3874-2856-8755,Gold,CC91701,A,G,Good
8558-3872-8287-1977,Premium,CC93405,A,G,Good
6429-7684-3108-1910,Premium,CC86100,A,G,Good
5563-4162-6828-9835,Premium,CC25855,A,G,Good
8793-4049-9771-8176,Premium,CC92551,A,G,Good
4834-4297-3113-9327,Gold,CC47195,A,G,Good
3467-4873-4196-4795,Premium,CC50434,A,G,Good
4843-3880-6792-2259,Premium,CC38739,A,G,Good
8088-9431-7201-2877,Premium,CC94516,A,G,Good
5540-8588-7666-7798,Gold,CC29712,A,G,Good
8052-5734-6162-9591,Premium,CC72916,A,G,Good
3762-3694-9841-5446,Gold,CC95014,A,G,Good
1616-5911-1676-5466,Platinum,CC15024,A,G,Good
5206-5979-9383-4538,Platinum,CC90683,A,G,Good
5991-4421-8476-3804,Gold,CC14871,A,G,Good
1608-1970-3705-7137,Premium,CC98498,A,G,Good
7211-2168-9731-5466,Gold,CC89758,A,G,Good
9546-5205-4705-9447,Premium,CC94742,A,G,Good
8976-7958-2694-8171,Premium,CC88367,A,G,Good
7416-4529-6690-5703,Gold,CC60164,A,G,Good
7447-6644-5678-8061,Platinum,CC89690,A,G,Good
3652-5528-4808-8216,Gold,CC53373,A,G,Good
8850-8297-4094-3048,Premium,CC13359,A,G,Good
5145-7864-6575-8768,Platinum,CC56879,A,G,Good
9497-8994-1281-9719,Platinum,CC91963,B,F,Fraud
4354-1258-5178-5618,Platinum,CC64725,A,G,Good
8507-1459-7315-8148,Gold,CC31344,A,G,Good
8341-5263-4582-7396,Platinum,CC81000,A,G,Good
9304-4488-7872-2868,Platinum,CC40526,A,G,Good
3620-5235-2101-3391,Platinum,CC52744,A,G,Good
